Batch,Expected_KB,Received_Bytes,Lost_Bytes,Loss_Pct,Packets_Received,Seq_Gaps,Pattern_Valid,Start_Time,Duration_s,Throughput_kbps
0,0.0,24,0,0.00,1,0,N/A,0.26,0.10,1.83
1,10.0,10297,0,0.00,15,1,47%,1.36,4.23,19.50
2,15.0,15417,0,0.00,23,1,48%,6.64,4.69,26.30
3,20.0,14945,5535,27.03,21,3,48%,12.41,5.56,21.51
4,25.0,12045,13555,52.95,18,4,50%,19.04,5.90,16.34
5,30.0,14389,16331,53.16,22,3,45%,26.01,5.90,19.53
6,35.0,13557,22283,62.17,20,3,45%,32.97,6.77,16.02
7,40.0,22905,18055,44.08,32,6,50%,40.81,6.79,27.00
8,45.0,9393,36687,79.62,17,7,35%,48.68,7.16,10.50
9,50.0,16957,34243,66.88,26,6,46%,56.89,5.55,24.45
