Batch,Expected_KB,Received_Bytes,Lost_Bytes,Loss_Pct,Packets_Received,Seq_Gaps,Pattern_Valid,Start_Time,Duration_s,Throughput_kbps
0,0.0,24,0,0.00,1,0,N/A,0.04,0.07,2.92
1,10.0,4557,5683,55.50,8,2,38%,1.20,18.22,2.00
2,15.0,6081,9279,60.41,8,3,50%,20.40,18.04,2.70
3,20.0,5945,14535,70.97,8,2,25%,39.49,18.09,2.63
4,25.0,4657,20943,81.81,9,4,44%,58.57,17.97,2.07
5,30.0,6553,24167,78.67,9,3,33%,77.52,17.89,2.93
6,35.0,7557,28283,78.91,12,5,42%,96.41,17.90,3.38
7,40.0,7781,33179,81.00,14,7,36%,115.29,17.73,3.51
8,45.0,4557,41523,90.11,8,5,38%,134.01,18.13,2.01
9,50.0,7957,43243,84.46,14,9,43%,153.14,16.03,3.97
